"","SGG","techP","marketP","Gen","utilRate","popDensity","area"
"1","Gyeonggi-do",387583.654065488,49614.2415409009,2339.56475937234,4.71551047987634,1389.08638826905,10195.25
"2","Yeoncheon-gun",17432.9986325365,6888.49462801638,200.529877174086,2.9110841773543,62.4136860315536,676.31
"3","Paju-si",27859.0964467897,4739.57731109428,124.842385072017,2.63404048246642,781.726174576321,673.86
"4","Anseong-si",25429.5883507308,4489.87293967025,193.049953648918,4.29967520780435,377.362411014346,553.46
"5","Hwaseong-si",43644.6663341791,4238.94747966001,303.78196328151,7.16644791517623,1460.76942908705,698.18
"6","Pocheon-si",20648.8774377705,4065.40919681934,143.05159450003,3.51875020630025,190.806738339118,826.91
"7","Yeoju-si",26684.6676620863,2686.85303504422,211.748602161138,7.8809149365199,196.16940124289,608.26
"8","Yangpyeong-gun",17617.8567868103,2235.1513640719,65.6277895930597,2.93616757450833,146.358053526872,877.69
"9","Gapyeong-gun",9318.71849453557,2021.8840890174,55.4181439256963,2.74091597172757,75.6382903065216,843.66
"10","Icheon-si",26240.2476987266,1888.48615921071,189.991179857481,10.0605015785177,504.681100058514,461.43
"11","Yongin-si",23683.4621812592,1781.30299739791,83.2063482232663,4.67109460573594,1871.98383031984,591.23
"12","Pyeongtaek-si",28958.9180438609,1638.19316767215,152.486195059239,9.30819381183964,1377.10588337989,458.24
"13","Ansan-si",8735.84260963423,1445.96047315073,62.6960000000939,4.3359414841735,4316.63148467984,156.33
"14","Namyangju-si",12490.1088525041,1428.00414163112,49.5466859234582,3.46964581397251,1619.01383856463,458.14
"15","Gimpo-si",15649.2881378582,1353.39150936604,94.6535615434611,6.99380488856468,1852.64813275008,276.61
"16","Siheung-si",8426.66874905453,1241.45046094799,53.7348762952895,4.32839472742688,3999.31987399771,139.68
"17","Yangju-si",11308.1250705724,1206.64257442045,53.6694290761357,4.44783154629806,962.819315143511,310.43
"18","Goyang-si",13994.3635699648,1181.99540663291,58.7790175257529,4.97286344734567,4043.34203655352,268.1
"19","Suwon-si",7437.32350161893,877.940353136538,40.6658865343459,4.6319646191296,10173.4082087703,121.09
"20","Seongnam-si",5500.2289923614,742.368392642975,25.5801758386322,3.44575228311672,6566.96321400833,141.63
"21","Bucheon-si",3801.25635695017,546.893464594841,12.0128878383618,2.1965681830302,14952.7034611787,53.45
"22","Hanam-si",3382.77076640419,466.988030369759,15.5200135316635,3.32342855112899,3568.81385095172,92.99
"23","Uijeongbu-si",2889.36644759217,429.850821446896,15.8653712793545,3.69090170072282,5742.18270999387,81.55
"24","Anyang-si",2250.8873718052,381.237768215656,8.57259475476215,2.24862158722765,9635.41987343937,58.47
"25","Dongducheon-si",1999.63017956876,285.654724234582,12.124089913908,4.24431626201693,952.189819170064,95.67
"26","Uiwang-si",1973.44968753389,274.519464926242,8.32126589930846,3.03121161246042,2879.62243198223,54.03
"27","Osan-si",2818.21548137525,262.891702340603,18.5985730995751,7.07461396993001,5916.06181222196,42.71
"28","Gunpo-si",1726.66223587034,262.79836457014,7.18992512363373,2.73590938642039,7190.99395936299,36.42
"29","Gwangmyeong-si",2174.62222512103,213.344657660962,11.2497574524267,5.27304389796549,7295.14663898261,38.53
"30","Guri-si",1669.23994570109,180.041879724025,6.18279314031365,3.4340860858545,5652.65526552655,33.33
"31","Gwacheon-si",1173.12031637812,121.253423911095,2.67067278143442,2.20255453024783,2391.21828826317,35.87
"32","Gwangju-si",10663.3854983342,36.8415593028069,58.197149323988,157.966031908845,957.140536903408,430.99
